fips,resistance,recovery,resilience
17133,0.376651,0.675512,0.91231
17135,0.256495,0.635405,0.887064
17137,0.266994,0.676649,0.896383
17139,0.296829,0.66359,0.898569
17141,0.318173,0.655708,0.900471
17143,0.25917,0.630525,0.886193
17145,0.245008,0.619967,0.881682
17147,0.337333,0.711703,0.912032
17149,0.262132,0.706988,0.901038
17151,0.27761,0.744021,0.908304
17153,0.264408,0.829315,0.917471
17155,0.302048,0.671056,0.90004
17157,0.225991,0.617798,0.879684
17159,0.249829,0.681851,0.89506
17161,0.285333,0.671592,0.896726
17163,0.273141,0.677683,0.896885
17165,0.248658,0.717999,0.899962
17167,0.336221,0.80123,0.921772
17169,0.2979,0.708811,0.905551
17171,0.268674,0.716938,0.903199
17173,0.295439,0.696193,0.903077
17175,0.281936,0.715468,0.904828
17177,0.258344,0.624101,0.884974
17179,0.292596,0.647317,0.894489
17181,0.210598,0.631805,0.879183
17183,0.263221,0.651378,0.890973
17185,0.259048,0.707145,0.900121
17187,0.272647,0.680687,0.897422
17189,0.305609,0.692943,0.90487
17191,0.269533,0.695867,0.900172
17193,0.247641,0.722826,0.901093
17195,0.320151,0.63101,0.895686
17197,0.323322,0.552716,0.880295
17199,0.273474,0.668112,0.894868
17201,0.274061,0.598521,0.881613
17203,0.311348,0.639333,0.896503
18001,0.322857,0.67182,0.903226
18003,0.33447,0.668251,0.903815
18005,0.296099,0.677982,0.899749
18007,0.301325,0.719107,0.907929
18009,0.294891,0.696095,0.903372
18011,0.307437,0.635355,0.895176
18013,0.263093,0.657719,0.891986
18015,0.299256,0.658948,0.89831
18017,0.278001,0.686351,0.898203
18019,0.303922,0.681703,0.901499
18021,0.255362,0.686171,0.896157
18023,0.282449,0.664781,0.896037
18025,0.253235,0.705389,0.898183
18027,0.312421,0.669758,0.901784
18029,0.311729,0.67443,0.902428
18031,0.29823,0.641996,0.894836
18033,0.302832,0.640987,0.894911
18035,0.239942,0.61699,0.880274
18037,0.300346,0.637959,0.894838
18039,0.265357,0.597474,0.880242
18041,0.262568,0.694232,0.898266
18043,0.293547,0.699973,0.902818
18045,0.299061,0.686258,0.902754
18047,0.285989,0.663641,0.896573
18049,0.261535,0.674718,0.895059
18051,0.290176,0.649703,0.895383
18053,0.263339,0.691022,0.898008
18055,0.285844,0.723835,0.905639
18057,0.392322,0.60875,0.902723
18059,0.355648,0.663393,0.906928
18061,0.262118,0.665116,0.892839
18063,0.365651,0.634216,0.903303
18065,0.274104,0.693819,0.899143
18067,0.270208,0.67276,0.895228
18069,0.280388,0.650792,0.893622
18071,0.299446,0.661798,0.898562
18073,0.347943,0.683848,0.908797
18075,0.302131,0.677562,0.901763
18077,0.304722,0.691028,0.904037
18079,0.263361,0.668198,0.893036
18081,0.349188,0.654282,0.903629
18083,0.269797,0.715183,0.902665
18085,0.307978,0.624602,0.892495
18087,0.318376,0.586985,0.888329
18089,0.254836,0.663294,0.891302
18091,0.260875,0.664545,0.893008
18093,0.269313,0.681241,0.896449
